atomic_number,period,group,block,symbol,name,appearance,phase,ionRadius,atomic_mass,super_category,category,bondingType,density,cpkHexColor,MeltingPoint,BoilingPoint,molar_heat,HeatCapacity,HeatOfFusion,HeatOfVaporization,CovalentRadius,VanDerWaalsRadius,Electronegativity,OxidationStates,IonizationEnergy,ThermalConductivity,ElectronAffinity,AbundanceCrust,AbundanceUniverse,radioactive,synthetic,YearDiscovered,discovered_by,source,image.url
1,1,1,s,H,Hydrogen,colorless gas,Gas,,1.008,nonmetals,diatomic nonmetal,diatomic,0.08988,FFFFFF,13.99,20.28,28.836,14.304,0.117,0.904,53,120,2.2,1,1312,0.1805,72.769,1400,75,no,no,1766,Henry Cavendish,https://en.wikipedia.org/wiki/Hydrogen,https://upload.wikimedia.org/wikipedia/commons/d/d9/Hydrogenglow.jpg
2,1,18,s,He,Helium,"colorless gas, exhibiting a red-orange glow when placed in a high-voltage electric field",Gas,,4.002602,nonmetals,noble gas,atomic,0.1786,D9FFFF,0.95,4.22,,5.193,0.0138,0.0829,32,140,,0,2372.3,0.1513,-50,0.008,23,no,no,1868,Pierre Janssen,https://en.wikipedia.org/wiki/Helium,https://upload.wikimedia.org/wikipedia/commons/0/00/Helium-glow.jpg
3,2,1,s,Li,Lithium,silvery-white,Solid,76 (+1),6.94,metals,alkali metal,metallic,0.534,CC80FF,453.65,1560,24.86,3.582,3,136,134,182,0.98,1,520.2,84.8,59.632,20,0.0000006,no,no,1817,Johan August Arfwedson,https://en.wikipedia.org/wiki/Lithium,https://upload.wikimedia.org/wikipedia/commons/e/e2/0.5_grams_lithium_under_argon.jpg
4,2,2,s,Be,Beryllium,white-gray metallic,Solid,45 (+2),9.012183,metals,alkaline earth metal,metallic,1.85,C2FF00,1560,2742,16.443,1.825,7.895,292,90,153,1.57,2,899.5,200,-50,2.8,0.0000001,no,no,1798,Louis Nicolas Vauquelin,https://en.wikipedia.org/wiki/Beryllium,https://upload.wikimedia.org/wikipedia/commons/e/e2/Beryllium_%28Be%29.jpg
5,2,13,p,B,Boron,black-brown,Solid,27 (+3),10.81,metalloids,metalloid,covalent network,2.08,FFB5B5,2349,4200,11.087,1.026,50.2,508,82,192,2.04,3,800.6,27.4,26.989,10,0.0000001,no,no,1808,Joseph Louis Gay-Lussac,https://en.wikipedia.org/wiki/Boron,https://upload.wikimedia.org/wikipedia/commons/a/a2/Boron.jpg
6,2,14,p,C,Carbon,,Solid,16 (+4),12.011,nonmetals,polyatomic nonmetal,covalent network,1.821,909090,3823,4300,8.517,0.709,117,,77,170,2.55,"-4,-3,-2,-1,0,1,2,3,4",1086.5,140,121.776,200,0.5,no,no,-3750,Ancient Egypt,https://en.wikipedia.org/wiki/Carbon,https://upload.wikimedia.org/wikipedia/commons/6/68/Pure_Carbon.png
7,2,15,p,N,Nitrogen,"colorless gas, liquid or solid",Gas,146 (-3),14.007,nonmetals,diatomic nonmetal,diatomic,1.251,3050F8,63.15,77.36,,1.04,0.72,5.57,75,155,3.04,"-3,2,3,4,5",1402.3,0.02583,-0.07,19,0.1,no,no,1772,Daniel Rutherford,https://en.wikipedia.org/wiki/Nitrogen,https://upload.wikimedia.org/wikipedia/commons/2/2d/Nitrogen-glow.jpg
8,2,16,p,O,Oxygen,,Gas,140 (-2),15.999,nonmetals,diatomic nonmetal,diatomic,1.429,FF0D0D,54.36,90.2,,0.918,0.444,6.82,73,152,3.44,-2,1313.9,0.02658,140.976,461000,1,no,no,1771,Carl Wilhelm Scheele,https://en.wikipedia.org/wiki/Oxygen,https://upload.wikimedia.org/wikipedia/commons/a/a0/Liquid_oxygen_in_a_beaker_%28cropped_and_retouched%29.jpg
9,2,17,p,F,Fluorine,,Gas,133 (-1),18.9984,nonmetals,diatomic nonmetal,atomic,1.696,9.00E+51,53.48,85.03,,0.824,0.51,6.62,71,147,3.98,-1,1681,0.0277,328.164,585,0.00004,no,no,1810,AndrÃ©-Marie AmpÃ¨re,https://en.wikipedia.org/wiki/Fluorine,https://upload.wikimedia.org/wikipedia/commons/2/2c/Fluoro_liquido_a_-196%C2%B0C_1.jpg
10,2,18,p,Ne,Neon,colorless gas exhibiting an orange-red glow when placed in a high voltage electric field,Gas,,20.17976,nonmetals,noble gas,atomic,0.9002,B3E3F5,24.56,27.07,,1.03,0.335,1.71,69,154,,0,2080.7,0.0491,-120,0.005,0.13,no,no,1898,Morris Travers,https://en.wikipedia.org/wiki/Neon,https://upload.wikimedia.org/wikipedia/commons/f/f8/Neon-glow.jpg
11,3,1,s,Na,Sodium,silvery white metallic,Solid,102 (+1),22.98977,metals,alkali metal,metallic,0.968,AB5CF2,370.944,1156,28.23,1.228,2.6,97.42,154,227,0.93,1,495.8,142,52.867,23600,0.002,no,no,1807,Humphry Davy,https://en.wikipedia.org/wiki/Sodium,https://upload.wikimedia.org/wikipedia/commons/2/27/Na_%28Sodium%29.jpg
12,3,2,s,Mg,Magnesium,shiny grey solid,Solid,72 (+2),24.305,metals,alkaline earth metal,metallic,1.738,8AFF00,923,1363,24.869,1.023,8.48,128,130,173,1.31,2,737.7,156,-40,23300,0.059,no,no,1755,Joseph Black,https://en.wikipedia.org/wiki/Magnesium,https://upload.wikimedia.org/wikipedia/commons/3/3f/Magnesium_crystals.jpg
13,3,13,p,Al,Aluminium,silvery gray metallic,Solid,53.5 (+3),26.98154,metals,post-transition metal,metallic,2.7,BFA6A6,933.47,2792,24.2,0.897,10.71,284,118,184,1.61,3,577.5,237,41.762,82300,0.005,no,no,1825,H. C. Ã˜rsted,https://en.wikipedia.org/wiki/Aluminium,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aluminium.jpg
14,3,14,p,Si,Silicon,"crystalline, reflective with bluish-tinged faces",Solid,40 (+4),28.085,metalloids,metalloid,metallic,2.329,F0C8A0,1687,3538,19.789,0.705,50.21,359,111,210,1.9,"-4,4",786.5,149,134.068,282000,0.07,no,no,1823,JÃ¶ns Jacob Berzelius,https://en.wikipedia.org/wiki/Silicon,https://upload.wikimedia.org/wikipedia/commons/2/2c/Silicon.jpg
15,3,15,p,P,Phosphorus,"colourless, waxy white, yellow, scarlet, red, violet, black",Solid,44 (+3),30.97376,nonmetals,polyatomic nonmetal,covalent network,1.823,FF8000,317.3,550,23.824,0.769,0.66,12.4,106,180,2.19,"-3,3,5",1011.8,0.236,72.037,1050,0.0007,no,no,1669,Hennig Brand,https://en.wikipedia.org/wiki/Phosphorus,https://upload.wikimedia.org/wikipedia/commons/6/6d/Phosphorus-purple.jpg
16,3,16,p,S,Sulfur,lemon yellow sintered microcrystals,Solid,184 (-2),32.06,nonmetals,polyatomic nonmetal,covalent network,2.07,FFFF30,388.36,717.87,22.75,0.71,1.727,45,102,180,2.58,"-2,2,4,6",999.6,0.205,200.41,350,0.05,no,no,-2000,Ancient china,https://en.wikipedia.org/wiki/Sulfur,https://upload.wikimedia.org/wikipedia/commons/2/23/Native_sulfur_%28Vodinskoe_Deposit%3B_quarry_near_Samara%2C_Russia%29_9.jpg
17,3,17,p,Cl,Chlorine,pale yellow-green gas,Gas,181 (-1),35.45,nonmetals,diatomic nonmetal,covalent network,3.2,1FF01F,171.6,239.11,,0.479,6.406,20.41,99,175,3.16,"-1,1,3,5,7",1251.2,0.0089,348.575,145,0.0001,no,no,1774,Carl Wilhelm Scheele,https://en.wikipedia.org/wiki/Chlorine,https://upload.wikimedia.org/wikipedia/commons/9/9a/Chlorine-sample-flip.jpg
18,3,18,p,Ar,Argon,colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,Gas,,39.9481,nonmetals,noble gas,atomic,1.784,80D1E3,83.81,87.3,,0.52,1.18,6.53,97,188,,0,1520.6,0.01772,-96,3.5,0.02,no,no,1894,Lord Rayleigh,https://en.wikipedia.org/wiki/Argon,https://upload.wikimedia.org/wikipedia/commons/5/53/Argon-glow.jpg
19,4,1,s,K,Potassium,silvery gray,Solid,138 (+1),39.09831,metals,alkali metal,metallic,0.862,8F40D4,336.7,1032,29.6,0.757,2.321,76.9,196,275,0.82,1,418.8,102.5,48.383,20900,0.0003,no,no,1807,Humphry Davy,https://en.wikipedia.org/wiki/Potassium,https://upload.wikimedia.org/wikipedia/commons/b/b3/Potassium.JPG
20,4,2,s,Ca,Calcium,,Solid,100 (+2),40.0784,metals,alkaline earth metal,metallic,1.55,3DFF00,1115,1757,25.929,0.647,8.54,154.7,174,231,1,2,589.8,201,2.37,41500,0.007,no,no,1808,Humphry Davy,https://en.wikipedia.org/wiki/Calcium,https://upload.wikimedia.org/wikipedia/commons/7/72/Calcium.jpg
21,4,3,d,Sc,Scandium,silvery white,Solid,74.5 (+3),44.95591,metals,transition metal,metallic,2.985,E6E6E6,1814,3109,25.52,0.568,14.1,332.7,144,211,1.36,3,633.1,15.8,18,22,0.000003,no,no,1879,Lars Fredrik Nilson,https://en.wikipedia.org/wiki/Scandium,https://upload.wikimedia.org/wikipedia/commons/f/f5/Scandium%2C_Sc.jpg
22,4,4,d,Ti,Titanium,silvery grey-white metallic,Solid,86 (+2),47.8671,metals,transition metal,metallic,4.506,BFC2C7,1941,3560,25.06,0.523,14.15,425,136,,1.54,"3,4",658.8,21.9,8,5650,0.0003,no,no,1791,William Gregor,https://en.wikipedia.org/wiki/Titanium,https://upload.wikimedia.org/wikipedia/commons/e/ec/Titanium.jpg
23,4,5,d,V,Vanadium,blue-silver-grey metal,Solid,79 (+2),50.94151,metals,transition metal,metallic,6,A6A6AB,2183,3680,24.89,0.489,21.5,444,125,,1.63,"2,3,4,5",650.9,30.7,50.911,120,0.0001,no,no,1801,AndrÃ©s Manuel del RÃ­o,https://en.wikipedia.org/wiki/Vanadium,https://upload.wikimedia.org/wikipedia/commons/0/0a/Vanadium-pieces.jpg
24,4,6,d,Cr,Chromium,silvery metallic,Solid,80 (+2*),51.99616,metals,transition metal,metallic,7.19,8A99C7,2180,2944,23.35,0.449,21,339.5,127,,1.66,"2,3,6",652.9,93.9,65.21,102,0.0015,no,no,1794,Louis Nicolas Vauquelin,https://en.wikipedia.org/wiki/Chromium,https://upload.wikimedia.org/wikipedia/commons/a/a1/Chromium.jpg
25,4,7,d,Mn,Manganese,silvery metallic,Solid,67 (+2),54.93804,metals,transition metal,metallic,7.21,9C7AC7,1519,2334,26.32,0.479,12.91,221,139,,1.55,"2,3,4,6,7",717.3,7.81,-50,950,0.0008,no,no,1774,Torbern Olof Bergman,https://en.wikipedia.org/wiki/Manganese,https://upload.wikimedia.org/wikipedia/commons/6/64/Manganese_element.jpg
26,4,8,d,Fe,Iron,lustrous metallic with a grayish tinge,Solid,78 (+2*),55.8452,metals,transition metal,metallic,7.874,E06633,1811,3134,25.1,0.449,13.81,340,125,,1.83,"2,3,6",762.5,80.4,14.785,56300,0.11,no,no,-5000,5000 BC,https://en.wikipedia.org/wiki/Iron,https://images-of-elements.com/iron-2.jpg
27,4,9,d,Co,Cobalt,hard lustrous gray metal,Solid,74.5 (+2*),58.93319,metals,transition metal,metallic,8.9,F090A0,1768,3200,24.81,0.421,16.06,377,126,,1.88,"2,3",760.4,100,63.898,25,0.0003,no,no,1735,Georg Brandt,https://en.wikipedia.org/wiki/Cobalt,https://upload.wikimedia.org/wikipedia/commons/6/62/Cobalt_ore_2.jpg
28,4,10,d,Ni,Nickel,"lustrous, metallic, and silver with a gold tinge",Solid,69 (+2),58.69344,metals,transition metal,metallic,8.908,50D050,1728,3186,26.07,0.444,17.48,379,121,163,1.91,"2,3",737.1,90.9,111.65,84,0.006,no,no,1751,Axel Fredrik Cronstedt,https://en.wikipedia.org/wiki/Nickel,https://upload.wikimedia.org/wikipedia/commons/5/57/Nickel_chunk.jpg
29,4,11,d,Cu,Copper,red-orange metallic luster,Solid,77 (+1),63.5463,metals,transition metal,metallic,8.96,C88033,1357.77,2835,24.44,0.385,13.26,300.4,138,140,1.9,"1,2",745.5,401,119.235,60,0.000006,no,no,-9000,Middle East,https://en.wikipedia.org/wiki/Copper,https://upload.wikimedia.org/wikipedia/commons/f/f0/NatCopper.jpg
30,4,12,d,Zn,Zinc,silver-gray,Solid,74 (+2),65.382,metals,transition metal,metallic,7.14,7D80B0,692.68,1180,25.47,0.388,7.32,115,131,139,1.65,2,906.4,116,-60,70,0.00003,no,no,-1000,India,https://en.wikipedia.org/wiki/Zinc,https://upload.wikimedia.org/wikipedia/commons/b/ba/Zinc_%2830_Zn%29.jpg
31,4,13,p,Ga,Gallium,silver-white,Solid,62 (+3),69.7231,metals,post-transition metal,metallic,5.91,C28F8F,302.9146,2673,25.86,0.371,5.59,256,126,187,1.81,3,578.8,40.6,41,19,0.000001,no,no,1875,Lecoq de Boisbaudran,https://en.wikipedia.org/wiki/Gallium,https://upload.wikimedia.org/wikipedia/commons/b/b1/Solid_gallium_%28Ga%29.jpg
32,4,14,p,Ge,Germanium,grayish-white,Solid,73 (+2),72.6308,metalloids,metalloid,metallic,5.323,668F8F,1211.4,3106,23.222,0.32,36.94,334,122,211,2.01,"-4,2,4",762,60.2,118.935,1.5,0.00002,no,no,1886,Clemens Winkler,https://en.wikipedia.org/wiki/Germanium,https://upload.wikimedia.org/wikipedia/commons/0/08/Polycrystalline-germanium.jpg
33,4,15,p,As,Arsenic,metallic grey,Solid,58 (+3),74.9216,metalloids,metalloid,metallic,5.727,BD80E3,1090,887,24.64,0.329,24.44,32.4,119,185,2.18,"-3,3,5",947,50.2,77.65,1.8,0.0000008,no,no,300,Bronze Age,https://en.wikipedia.org/wiki/Arsenic,https://upload.wikimedia.org/wikipedia/commons/3/3b/Arsenic_%2833_As%29.jpg
34,4,16,p,Se,Selenium,"black, red, and gray (not pictured) allotropes",Solid,198 (-2),78.9718,nonmetals,polyatomic nonmetal,metallic,4.81,FFA100,494,958,25.363,0.321,6.69,95.48,116,190,2.55,"-2,2,4,6",941,0.519,194.958,0.05,0.000003,no,no,1817,JÃ¶ns Jakob Berzelius,https://en.wikipedia.org/wiki/Selenium,https://upload.wikimedia.org/wikipedia/commons/7/7f/Selenium.jpg
35,4,17,p,Br,Bromine,,Liquid,196 (-1),79.904,nonmetals,diatomic nonmetal,covalent network,3.1028,A62929,265.8,332,,0.474,10.57,29.96,114,185,2.96,"-1,1,3,5,7",1139.9,0.12,324.537,2.4,0.0000007,no,no,1825,Antoine JÃ©rÃ´me Balard,https://en.wikipedia.org/wiki/Bromine,https://upload.wikimedia.org/wikipedia/commons/8/87/Bromine-ampoule.jpg
36,4,18,p,Kr,Krypton,"colorless gas, exhibiting a whitish glow in a high electric field",Gas,,83.7982,nonmetals,noble gas,atomic,3.749,5CB8D1,115.78,119.93,,0.248,1.64,9.08,110,202,3,0,1350.8,0.00943,-60,0.0001,0.000004,no,no,1898,William Ramsay,https://en.wikipedia.org/wiki/Krypton,https://upload.wikimedia.org/wikipedia/commons/9/9c/Krypton-glow.jpg
37,5,1,s,Rb,Rubidium,grey white,Solid,152 (+1),85.46783,metals,alkali metal,metallic,1.532,702EB0,312.45,961,31.06,0.363,2.19,75.77,211,303,0.82,1,403,58.2,46.884,90,0.000001,no,no,1861,Robert Bunsen,https://en.wikipedia.org/wiki/Rubidium,https://upload.wikimedia.org/wikipedia/commons/c/c9/Rb5.JPG
38,5,2,s,Sr,Strontium,,Solid,118 (+2),87.621,metals,alkaline earth metal,metallic,2.64,00FF00,1050,1655,26.4,0.301,7.43,141,192,249,0.95,2,549.5,35.4,5.023,370,0.000004,no,no,1787,William Cruickshank (chemist),https://en.wikipedia.org/wiki/Strontium,https://upload.wikimedia.org/wikipedia/commons/8/84/Strontium-1.jpg
39,5,3,d,Y,Yttrium,silvery white,Solid,90 (+3),88.90584,metals,transition metal,metallic,4.472,94FFFF,1799,3609,26.53,0.298,11.42,390,162,,1.22,3,600,17.2,29.6,33,0.0000007,no,no,1794,Johan Gadolin,https://en.wikipedia.org/wiki/Yttrium,https://upload.wikimedia.org/wikipedia/commons/9/90/Piece_of_Yttrium.jpg
40,5,4,d,Zr,Zirconium,silvery white,Solid,72 (+4),91.2242,metals,transition metal,metallic,6.52,94E0E0,2128,4682,25.36,0.278,14,573,148,,1.33,4,640.1,22.6,41.81,165,0.000005,no,no,1789,Martin Heinrich Klaproth,https://en.wikipedia.org/wiki/Zirconium,https://upload.wikimedia.org/wikipedia/commons/1/1d/Zirconium-pieces.jpg
41,5,5,d,Nb,Niobium,"gray metallic, bluish when oxidized",Solid,72 (+3),92.90637,metals,transition metal,metallic,8.57,73C2C9,2750,5017,24.6,0.265,30,689.9,137,,1.6,"3,5",652.1,53.7,88.516,20,0.0000002,no,no,1801,Charles Hatchett,https://en.wikipedia.org/wiki/Niobium,https://upload.wikimedia.org/wikipedia/commons/c/c2/Niobium_strips.JPG
42,5,6,d,Mo,Molybdenum,gray metallic,Solid,69 (+3),95.951,metals,transition metal,metallic,10.28,54B5B5,2896,4912,24.06,0.251,37.48,617,145,,2.16,"2,3,4,5,6",684.3,138,72.1,1.2,0.0000005,no,no,1778,Carl Wilhelm Scheele,https://en.wikipedia.org/wiki/Molybdenum,https://upload.wikimedia.org/wikipedia/commons/f/f0/Molybdenum.jpg
43,5,7,d,Tc,Technetium,shiny gray metal,Solid,64.5 (+4),98,metals,transition metal,metallic,11,3B9E9E,2430,4538,24.27,,33.29,585.2,156,,1.9,"4,7",702,50.6,53.067,3.00E-09,,yes,no,1937,Emilio SegrÃ¨,https://en.wikipedia.org/wiki/Technetium,https://upload.wikimedia.org/wikipedia/commons/a/ab/Technetium-sample-cropped.jpg
44,5,8,d,Ru,Ruthenium,silvery white metallic,Solid,68 (+3),101.072,metals,transition metal,metallic,12.45,248F8F,2607,4423,24.06,0.238,38.59,619,126,,2.2,"3,4,6",710.2,117,100.96,0.001,0.0000004,no,no,1844,Karl Ernst Claus,https://en.wikipedia.org/wiki/Ruthenium,https://upload.wikimedia.org/wikipedia/commons/a/a8/Ruthenium_crystal.jpg
45,5,9,d,Rh,Rhodium,silvery white metallic,Solid,66.5 (+3),102.9055,metals,transition metal,metallic,12.41,0A7D8C,2237,3968,24.98,0.243,26.59,494,135,,2.28,"3,4",719.7,150,110.27,0.001,0.00000006,no,no,1804,William Hyde Wollaston,https://en.wikipedia.org/wiki/Rhodium,https://upload.wikimedia.org/wikipedia/commons/5/54/Rhodium_%28Rh%29.jpg
46,5,10,d,Pd,Palladium,silvery white,Solid,59 (+1),106.421,metals,transition metal,metallic,12.023,6985,1828.05,3236,25.98,0.244,16.74,358,131,163,2.2,"2,4",804.4,71.8,54.24,0.015,0.0000002,no,no,1802,William Hyde Wollaston,https://en.wikipedia.org/wiki/Palladium,https://upload.wikimedia.org/wikipedia/commons/d/d7/Palladium_%2846_Pd%29.jpg
47,5,11,d,Ag,Silver,lustrous white metal,Solid,115 (+1),107.8682,metals,transition metal,metallic,10.49,C0C0C0,1234.93,2435,25.35,0.235,11.28,254,153,172,1.93,"1,2",731,429,125.862,0.075,0.00000006,no,no,-5000,"unknown, before 5000 BC",https://en.wikipedia.org/wiki/Silver,https://upload.wikimedia.org/wikipedia/commons/e/e4/Silver-nugget.jpg
48,5,12,d,Cd,Cadmium,silvery bluish-gray metallic,Solid,95 (+2),112.4144,metals,transition metal,metallic,8.65,FFD98F,594.22,1040,26.02,0.232,6.21,99.87,148,158,1.69,2,867.8,96.6,-70,0.159,0.0000002,no,no,1817,Karl Samuel Leberecht Hermann,https://en.wikipedia.org/wiki/Cadmium,https://images-of-elements.com/cadmium-4.jpg
49,5,13,p,In,Indium,silvery lustrous gray,Solid,80 (+3),114.8181,metals,post-transition metal,metallic,7.31,A67573,429.7485,2345,26.74,0.233,3.281,231.8,144,193,1.78,3,558.3,81.8,28.95,0.25,0.00000003,no,no,1863,Ferdinand Reich,https://en.wikipedia.org/wiki/Indium,https://images-of-elements.com/indium-2.jpg
50,5,14,p,Sn,Tin,"silvery-white (beta, Î²) or gray (alpha, Î±)",Solid,112 (+2),118.7107,metals,post-transition metal,metallic,7.365,668080,505.08,2875,27.112,0.228,7.03,296.1,141,217,1.96,"-4,2,4",708.6,66.8,107.298,2.3,0.0000004,no,no,-3500,"unknown, before 3500 BC",https://en.wikipedia.org/wiki/Tin,https://upload.wikimedia.org/wikipedia/commons/6/6a/Tin-2.jpg
51,5,15,p,Sb,Antimony,silvery lustrous gray,Solid,76 (+3),121.7601,metalloids,metalloid,metallic,6.697,9E63B5,903.78,1860,25.23,0.207,19.79,193.43,138,206,2.05,"-3,3,5",834,24.4,101.059,0.2,0.00000004,no,no,-3000,"unknown, before 3000 BC",https://en.wikipedia.org/wiki/Antimony,https://upload.wikimedia.org/wikipedia/commons/5/5c/Antimony-4.jpg
52,5,16,p,Te,Tellurium,,Solid,221 (-2),127.603,metalloids,metalloid,metallic,6.24,D47A00,722.66,1261,25.73,0.202,17.49,114.1,135,206,2.1,"-2,2,4,6",869.3,3,190.161,0.001,0.0000009,no,no,1782,Franz-Joseph MÃ¼ller von Reichenstein,https://en.wikipedia.org/wiki/Tellurium,https://upload.wikimedia.org/wikipedia/commons/c/c1/Tellurium2.jpg
53,5,17,p,I,Iodine,"lustrous metallic gray, violet as a gas",Solid,220 (-1),126.9045,nonmetals,diatomic nonmetal,covalent network,4.933,940094,386.85,457.4,,0.214,15.52,41.57,133,198,2.66,"-1,1,3,5,7",1008.4,0.45,295.1531,0.45,0.0000001,no,no,1811,Bernard Courtois,https://en.wikipedia.org/wiki/Iodine,https://upload.wikimedia.org/wikipedia/commons/c/c2/Iodine-sample.jpg
54,5,18,p,Xe,Xenon,"colorless gas, exhibiting a blue glow when placed in a high voltage electric field",Gas,48 (+8),131.2936,nonmetals,noble gas,atomic,5.894,429EB0,161.4,165.03,,0.158,2.27,12.64,130,216,2.6,"2,4,6",1170.4,0.00565,-80,0.00003,0.000001,no,no,1898,William Ramsay,https://en.wikipedia.org/wiki/Xenon,https://upload.wikimedia.org/wikipedia/commons/5/5d/Xenon-glow.jpg
55,6,1,s,Cs,Cesium,silvery gold,Solid,167 (+1),132.9055,metals,alkali metal,metallic,1.93,57178F,301.7,944,32.21,0.242,2.09,63.9,225,343,0.79,1,375.7,35.9,45.505,3,0.00000008,no,no,1860,Robert Bunsen,https://en.wikipedia.org/wiki/Cesium,https://upload.wikimedia.org/wikipedia/commons/3/3d/Cesium.jpg
